qid,retriever,policy_name,selected_strategy,original_rank,original_success,reward,recall@1,recall@5,recall@10,mrr
6521755-2-1,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,bm25,always_keyword,keyword,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-2-1,bm25,always_expanded,expanded,1,True,0.9555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,bm25,always_prompt,prompt,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-2-1,bm25,always_structured,structured,1,True,0.9388888888888889,0.0,1.0,1.0,0.5
6521755-2-1,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,dense,original_only,original,2,True,1.0,0.0,1.0,1.0,0.5
6521755-2-1,dense,always_keyword,keyword,2,True,1.0555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,dense,always_expanded,expanded,2,True,0.9555555555555556,0.0,1.0,1.0,0.5
6521755-2-1,dense,always_prompt,prompt,2,True,1.0555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,dense,always_structured,structured,2,True,1.05,1.0,1.0,1.0,1.0
6521755-2-1,dense,epsilon_greedy_bandit,original,2,True,1.0,0.0,1.0,1.0,0.5
6521755-2-1,dense,contextual_bandit,keyword,2,True,1.0555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,dense,oracle_best_strategy,keyword,2,True,1.0555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,always_keyword,keyword,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-2-1,hybrid,always_expanded,expanded,1,True,0.9555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,always_prompt,prompt,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-2-1,hybrid,always_structured,structured,1,True,0.9388888888888889,0.0,1.0,1.0,0.5
6521755-2-1,hybrid,epsilon_greedy_bandit,expanded,1,True,0.9555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,always_keyword,keyword,1,True,-0.5,0.0,0.0,0.0,0.0
6548853-0-2,bm25,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,always_prompt,prompt,1,True,-0.5,0.0,0.0,0.0,0.0
6548853-0-2,bm25,always_structured,structured,1,True,-0.5,0.0,0.0,0.0,0.0
6548853-0-2,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,hybrid,always_keyword,keyword,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6548853-0-2,hybrid,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,hybrid,always_prompt,prompt,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6548853-0-2,hybrid,always_structured,structured,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6548853-0-2,hybrid,epsilon_greedy_bandit,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6539187-1-0,bm25,original_only,original,,False,0.0,0.0,0.0,0.0,0.0
6539187-1-0,bm25,always_keyword,keyword,,False,0.0,0.0,0.0,0.0,0.0
6539187-1-0,bm25,always_expanded,expanded,,False,-0.0125,0.0,0.0,0.0,0.0
6539187-1-0,bm25,always_prompt,prompt,,False,0.0,0.0,0.0,0.0,0.0
6539187-1-0,bm25,always_structured,structured,,False,0.0,0.0,0.0,0.0,0.0
6539187-1-0,bm25,epsilon_greedy_bandit,original,,False,0.0,0.0,0.0,0.0,0.0
6539187-1-0,bm25,contextual_bandit,original,,False,0.0,0.0,0.0,0.0,0.0
6539187-1-0,bm25,oracle_best_strategy,original,,False,0.0,0.0,0.0,0.0,0.0
6539187-1-0,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6539187-1-0,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6539187-1-0,dense,always_expanded,expanded,1,True,0.9875,1.0,1.0,1.0,1.0
6539187-1-0,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6539187-1-0,dense,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6539187-1-0,dense,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6539187-1-0,dense,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6539187-1-0,dense,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6539187-1-0,hybrid,original_only,original,10,True,1.0,0.0,0.0,1.0,0.1
6539187-1-0,hybrid,always_keyword,keyword,10,True,1.1666666666666667,0.0,0.0,1.0,0.14285714285714285
6539187-1-0,hybrid,always_expanded,expanded,10,True,1.0430555555555556,0.0,0.0,1.0,0.1111111111111111
6539187-1-0,hybrid,always_prompt,prompt,10,True,1.1666666666666667,0.0,0.0,1.0,0.14285714285714285
6539187-1-0,hybrid,always_structured,structured,10,True,1.1666666666666667,0.0,0.0,1.0,0.14285714285714285
6539187-1-0,hybrid,epsilon_greedy_bandit,expanded,10,True,1.0430555555555556,0.0,0.0,1.0,0.1111111111111111
6539187-1-0,hybrid,contextual_bandit,original,10,True,1.0,0.0,0.0,1.0,0.1
6539187-1-0,hybrid,oracle_best_strategy,keyword,10,True,1.1666666666666667,0.0,0.0,1.0,0.14285714285714285
6548850-1-0,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,bm25,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,bm25,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,bm25,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,bm25,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,dense,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,dense,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,dense,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,dense,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,dense,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,hybrid,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,hybrid,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,hybrid,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,hybrid,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,hybrid,epsilon_greedy_bandit,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-0,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,bm25,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,bm25,always_expanded,expanded,1,True,0.990625,1.0,1.0,1.0,1.0
6548850-1-1,bm25,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,bm25,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,dense,always_expanded,expanded,1,True,0.990625,1.0,1.0,1.0,1.0
6548850-1-1,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,dense,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,dense,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,dense,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,dense,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,hybrid,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,hybrid,always_expanded,expanded,1,True,0.990625,1.0,1.0,1.0,1.0
6548850-1-1,hybrid,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,hybrid,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,hybrid,epsilon_greedy_bandit,expanded,1,True,0.990625,1.0,1.0,1.0,1.0
6548850-1-1,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-1-1,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,bm25,always_keyword,keyword,1,True,0.5555555555555556,0.0,0.0,1.0,0.1111111111111111
6457767-1-1,bm25,always_expanded,expanded,1,True,0.7888888888888889,0.0,1.0,1.0,0.3333333333333333
6457767-1-1,bm25,always_prompt,prompt,1,True,0.5555555555555556,0.0,0.0,1.0,0.1111111111111111
6457767-1-1,bm25,always_structured,structured,1,True,0.5388888888888889,0.0,0.0,1.0,0.1111111111111111
6457767-1-1,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,dense,always_expanded,expanded,1,True,0.8444444444444444,0.0,1.0,1.0,0.5
6457767-1-1,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,dense,always_structured,structured,1,True,0.9833333333333333,1.0,1.0,1.0,1.0
6457767-1-1,dense,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,dense,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,dense,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,hybrid,always_keyword,keyword,1,True,0.6666666666666667,0.0,0.0,1.0,0.14285714285714285
6457767-1-1,hybrid,always_expanded,expanded,1,True,0.9,1.0,1.0,1.0,1.0
6457767-1-1,hybrid,always_prompt,prompt,1,True,0.6666666666666667,0.0,0.0,1.0,0.14285714285714285
6457767-1-1,hybrid,always_structured,structured,1,True,0.65,0.0,0.0,1.0,0.14285714285714285
6457767-1-1,hybrid,epsilon_greedy_bandit,expanded,1,True,0.9,1.0,1.0,1.0,1.0
6457767-1-1,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6457767-1-1,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,bm25,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,bm25,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,bm25,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,bm25,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,dense,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,dense,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,dense,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,dense,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,dense,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,hybrid,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,hybrid,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,hybrid,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,hybrid,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,hybrid,epsilon_greedy_bandit,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548850-0-0,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,bm25,always_keyword,keyword,1,True,0.7222222222222222,0.0,0.0,1.0,0.16666666666666666
6548853-0-1,bm25,always_expanded,expanded,1,True,0.9583333333333334,1.0,1.0,1.0,1.0
6548853-0-1,bm25,always_prompt,prompt,1,True,0.7222222222222222,0.0,0.0,1.0,0.16666666666666666
6548853-0-1,bm25,always_structured,structured,1,True,0.7222222222222222,0.0,0.0,1.0,0.16666666666666666
6548853-0-1,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,dense,always_expanded,expanded,1,True,0.9583333333333334,1.0,1.0,1.0,1.0
6548853-0-1,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,dense,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,dense,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,dense,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,dense,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,hybrid,always_keyword,keyword,1,True,0.7777777777777778,0.0,1.0,1.0,0.2
6548853-0-1,hybrid,always_expanded,expanded,1,True,0.9583333333333334,1.0,1.0,1.0,1.0
6548853-0-1,hybrid,always_prompt,prompt,1,True,0.7777777777777778,0.0,1.0,1.0,0.2
6548853-0-1,hybrid,always_structured,structured,1,True,0.7777777777777778,0.0,1.0,1.0,0.2
6548853-0-1,hybrid,epsilon_greedy_bandit,expanded,1,True,0.9583333333333334,1.0,1.0,1.0,1.0
6548853-0-1,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-1,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,bm25,original_only,original,3,True,1.0,0.0,1.0,1.0,0.3333333333333333
6521755-1-1,bm25,always_keyword,keyword,3,True,-0.5,0.0,0.0,0.0,0.0
6521755-1-1,bm25,always_expanded,expanded,3,True,0.9428571428571428,0.0,1.0,1.0,0.3333333333333333
6521755-1-1,bm25,always_prompt,prompt,3,True,-0.5,0.0,0.0,0.0,0.0
6521755-1-1,bm25,always_structured,structured,3,True,-0.5071428571428571,0.0,0.0,0.0,0.0
6521755-1-1,bm25,epsilon_greedy_bandit,original,3,True,1.0,0.0,1.0,1.0,0.3333333333333333
6521755-1-1,bm25,contextual_bandit,original,3,True,1.0,0.0,1.0,1.0,0.3333333333333333
6521755-1-1,bm25,oracle_best_strategy,original,3,True,1.0,0.0,1.0,1.0,0.3333333333333333
6521755-1-1,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,dense,always_expanded,expanded,1,True,0.9428571428571428,1.0,1.0,1.0,1.0
6521755-1-1,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,dense,always_structured,structured,1,True,0.9928571428571429,1.0,1.0,1.0,1.0
6521755-1-1,dense,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,dense,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,dense,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,hybrid,always_keyword,keyword,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-1-1,hybrid,always_expanded,expanded,1,True,0.9428571428571428,1.0,1.0,1.0,1.0
6521755-1-1,hybrid,always_prompt,prompt,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-1-1,hybrid,always_structured,structured,1,True,0.9373015873015873,0.0,1.0,1.0,0.5
6521755-1-1,hybrid,epsilon_greedy_bandit,expanded,1,True,0.9428571428571428,1.0,1.0,1.0,1.0
6521755-1-1,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-1-1,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
